spp,seed data source,try database plant code
ARLU,,
CARO,,
CEFE,,
CHAL,,
COAN,,
ELEL,,
FEAR,,
HEMU,,
HOWR,,
LIDA,TRY,"33530, 237956, 340703"
LOWR,https://plants.usda.gov/plant-profile/LOWR/characteristics,na
MUMO,TRY,37402
MUVI,TRY,243111
PIPR,TRY,252457
PSMA,TRY,64788
QUGA,TRY,"45381, 374075"
SATR,"Young, F. L. and R. E. Whitesides. 1987. Efficacy of postharvest herbicides on Russian thistle (Salsola iberica) control and seed germination. Weed Sci. 35:554–559.",na
SCSC,TRY,"48859, 453018"
VETH,TRY,"56010, 269207, 269208"
,,
,,
,,
,,
